date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:46	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Jul%202024%2008:06:45%20GMT	http://sist.sathyabama.ac.in/sist_ese_june_2024/login.php	/home/gokul/websites/result%20page/sist.sathyabama.ac.in/sist_ese_june_2024/login.0.delayed	(from )
13:36:47	10390/10390	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2008:06:46%20GMT	https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php	/home/gokul/websites/result%20page/sist.sathyabama.ac.in/sist_ese_june_2024/login.html	(from )
13:36:48	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jul%202024%2008:06:47%20GMT	https://sist.sathyabama.ac.in/robots.txt		(from )
13:36:50	276937/276937	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22439c9-5e073330102e0%22	https://sist.sathyabama.ac.in/sist_ese_june_2024/img/sist.ico	/home/gokul/websites/result%20page/sist.sathyabama.ac.in/sist_ese_june_2024/img/sist.ico	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:53	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	/home/gokul/websites/result%20page/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:53	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	/home/gokul/websites/result%20page/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:54	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	/home/gokul/websites/result%20page/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:55	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	/home/gokul/websites/result%20page/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:56	28759/28759	---MCZ	200	added ('OK')	text/css	etag:W/%2289916fa773ce96569604016ef25cab50%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	/home/gokul/websites/result%20page/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:56	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668f945f-4d7%22	https://sist.sathyabama.ac.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/gokul/websites/result%20page/sist.sathyabama.ac.in/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:57	1943/1943	---M-Z	200	added ('OK')	application/javascript	etag:%22797-5e07333075be7-gzip%22	https://sist.sathyabama.ac.in/sist_ese_june_2024/js/noback.js	/home/gokul/websites/result%20page/sist.sathyabama.ac.in/sist_ese_june_2024/js/noback.js	(from https://sist.sathyabama.ac.in/sist_ese_june_2024/login.php)
13:36:59	386421/386421	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22bae4a87c1e5dff40baa3f49d52f5347a%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/fonts/fontawesome-webfont.svg?v=4.6.1	/home/gokul/websites/result%20page/maxcdn.bootstrapcdn.com/font-awesome/4.6.1/fonts/fontawesome-webfont914c.svg	(from https://maxcdn.bootstrapcdn.com/font-awesome/4.6.1/css/font-awesome.min.css)
